loan_date,amount,duration,status,account_date,frequency_issuance_after_transaction,frequency_monthly_issuance,frequency_weekly_issuance,NumberOfPeople,cc_issued_date,cc_type_classic,cc_type_gold,cc_type_junior,birth_number,sex,Cluster,date,balance,NumberOfTrans,Age
1993-07-05,-0.46544991061942975,12,-1,1993-03-22,0,0,1,1,0,0.0,0.0,0.0,1947-07-22,0,0,930620,-0.9804990924821743,-1.578472879668481,0.7386731943415835
1993-07-11,0.19651741582283505,36,1,1993-02-13,0,1,0,1,0,0.0,0.0,0.0,1968-07-22,1,0,930709,0.4744760526370931,-0.8414618172264294,-0.9394207906929904
1993-07-28,-0.17346259757598123,60,1,1993-02-08,0,1,0,1,0,0.0,0.0,0.0,1936-06-02,1,0,930721,-0.9726688739111049,-1.13179950849148,1.6975840429327687
1993-08-03,-0.37592388268588905,36,1,1993-01-30,0,1,0,1,0,0.0,0.0,0.0,1940-04-20,0,0,930731,-0.3373744216857838,-1.10946583993263,1.3779470934023736
1993-09-06,1.2316621138043997,60,1,1993-02-14,0,0,1,1,0,0.0,0.0,0.0,1978-09-07,1,1,930831,-0.026966069512523113,-1.0647985028149298,-1.738513164518978
1993-09-13,-0.5468683518396014,24,1,1993-05-12,0,1,0,2,0,0.0,0.0,0.0,1980-02-16,0,0,930909,0.09560313310834238,-1.2881351884034304,-1.8184224019015767
1993-09-15,-0.8804213207093367,12,1,1993-01-14,0,1,0,1,0,0.0,0.0,0.0,1973-02-16,1,0,930911,-0.9384026049097006,-0.7074598058733291,-1.2590577402233853
1993-09-24,0.28010549292404907,24,-1,1993-04-14,0,1,0,1,0,0.0,0.0,0.0,1948-08-12,0,0,930921,0.7432773058985718,-0.9531301600206796,0.7386731943415835
1993-10-13,0.08666532542479144,48,1,1993-04-20,0,0,1,1,0,0.0,0.0,0.0,1969-05-25,0,0,931008,0.5285716251494923,-0.9531301600206796,-0.9394207906929904
1993-11-04,-0.26915495906616893,24,1,1993-06-20,0,1,0,1,0,0.0,0.0,0.0,1935-10-03,1,0,931031,0.519091985536832,-1.3774698626388306,1.7774932803153674
1993-11-10,-1.1741215041851871,36,1,1993-01-17,0,1,0,2,0,0.0,0.0,0.0,1960-08-20,1,0,931107,0.33284334913168556,-0.662792468755629,-0.2202376542496016
1993-11-22,-0.6252036262814495,24,1,1993-01-13,0,1,0,1,0,0.0,0.0,0.0,1970-04-28,1,0,931116,2.8098024904466303,-0.4841231202848287,-1.0193300280755893
1993-12-01,3.0375985063668316,60,-1,1993-03-19,0,0,1,1,0,0.0,0.0,0.0,1940-12-02,0,0,931130,2.721513150956633,-0.14911809190207798,1.298037856019775
1993-12-08,-0.47492779367872046,36,1,1993-03-15,0,0,1,1,0,0.0,0.0,0.0,1971-02-10,1,0,931130,-0.637609833643737,-0.6181251316379289,-1.099239265458188
1993-12-08,-0.48931590531089664,36,1,1993-07-05,1,0,0,1,0,0.0,0.0,0.0,1950-10-20,0,0,931202,-0.31817951088309265,-1.2434678512857302,0.578854719576386
1993-12-09,-0.9353473659083585,12,1,1993-04-14,1,0,0,1,0,0.0,0.0,0.0,1957-12-31,0,0,931205,0.7719291994314834,-0.7297934744321792,-0.06041917948440406
1993-12-13,1.088922911104239,60,1,1993-07-11,0,1,0,1,0,0.0,0.0,0.0,1979-03-16,1,0,931210,1.1546628517279143,-1.2881351884034304,-1.738513164518978
1993-12-16,-1.0197347825446934,12,1,1993-06-28,0,1,0,1,0,0.0,0.0,0.0,1965-01-22,0,1,931214,0.27132991330861456,-1.0201311656972298,-0.6197838411625953
1993-12-21,-0.5585158707799345,12,1,1993-08-18,0,1,0,1,0,0.0,0.0,0.0,1961-09-28,1,0,931216,-0.2032275521383661,-1.3328025255211304,-0.3001468916322003
1993-12-23,-0.6631151585186121,24,-1,1993-06-10,0,1,0,1,0,0.0,0.0,0.0,1958-12-07,1,0,931217,0.009824176192634499,-1.15413317705033,-0.06041917948440406
1994-01-05,-0.6124141937195151,24,1,1993-02-26,0,1,0,2,0,0.0,0.0,0.0,1945-02-04,1,1,931231,-0.629081783093533,-0.46178945172597863,0.9784009064893798
1994-01-05,-0.6124141937195151,24,1,1993-02-26,0,1,0,2,0,0.0,0.0,0.0,1945-02-04,1,1,931231,-0.5879142277010763,-0.46178945172597863,0.9784009064893798
1994-01-10,-1.1494561699585994,12,1,1993-02-27,0,1,0,1,0,0.0,0.0,0.0,1958-10-07,1,1,931231,1.6735643674853606,-0.03744974910782772,-0.06041917948440406
1994-01-20,1.026688618726969,60,1,1993-05-10,0,0,1,1,0,0.0,0.0,0.0,1950-03-13,0,0,940119,1.7859334416319919,-0.7521271429910292,0.578854719576386
1994-01-21,-1.1822290908985562,24,1,1993-09-08,0,1,0,1,0,0.0,0.0,0.0,1964-08-09,0,0,940106,-0.49260578603134125,-1.3328025255211304,-0.5398746037799966
1994-01-31,-0.353656567064664,36,1,1993-05-20,0,1,0,2,0,0.0,0.0,0.0,1963-05-12,0,1,940118,-0.8979691325082816,-0.4394557831671286,-0.4599653663973979
1994-02-06,-0.6315983425624168,12,1,1993-05-09,0,1,0,1,0,0.0,0.0,0.0,1957-01-22,0,1,940205,-0.7765418367623638,-0.5287904574025287,0.09939929528079346
1994-02-07,0.03550759517705388,48,1,1993-04-21,0,1,0,1,0,0.0,0.0,0.0,1968-12-20,0,0,940131,-1.0281646417582615,-0.46178945172597863,-0.8595115533103916
1994-02-17,-0.9134226243736138,12,-1,1993-09-03,1,0,0,1,0,0.0,0.0,0.0,1945-10-03,0,0,940214,-1.1810759413420209,-0.5734577945202288,0.9784009064893798
1994-02-23,0.4990103341850154,36,1,1993-09-13,0,1,0,2,0,0.0,0.0,0.0,1970-05-05,0,0,940216,0.07053102700086145,-1.3104688569622804,-1.0193300280755893
1994-02-27,1.4783154560702774,60,1,1993-04-29,0,1,0,1,0,0.0,0.0,0.0,1950-01-07,1,0,940223,-0.3543127069975066,-0.19378542901977805,0.6587639569589848
1994-03-01,0.3551292178632535,36,1,1993-10-10,0,1,0,1,0,0.0,0.0,0.0,1959-05-23,1,0,940228,0.1777615202102282,-1.3774698626388306,-0.14032841686700281
1994-03-08,-0.5107838813970008,12,1,1993-03-08,0,1,0,2,0,0.0,0.0,0.0,1962-12-28,0,0,940303,-0.39314660349870134,-0.10445075478437786,-0.3800561290147991
1994-03-11,-0.8908127346659084,24,1,1993-02-08,0,1,0,1,1993-11-07,1.0,0.0,0.0,1968-01-28,0,0,940305,-0.16022025789182714,0.6102266390988237,-0.7796023159277929
1994-03-15,-0.855870177844909,24,1,1993-03-18,0,1,0,1,0,0.0,0.0,0.0,1939-12-25,0,0,940313,-1.3287625638352458,0.5208919648634235,1.4578563307849723
1994-03-16,-0.5148947704347654,24,1,1993-07-28,0,1,0,2,0,0.0,0.0,0.0,1955-08-26,0,0,940313,-0.4088523544057191,-0.8637954857852795,0.17930853266339222
1994-03-30,-1.30989503379358,24,1,1993-03-28,0,1,0,2,0,0.0,0.0,0.0,1962-09-03,0,0,940323,-0.24400994052935243,0.14121959936297265,-0.3800561290147991
1994-03-31,0.6384379873825323,36,1,1993-03-05,0,0,1,1,0,0.0,0.0,0.0,1966-10-24,0,0,940330,1.0187940591150995,-0.08211708622552782,-0.6996930785451941
1994-04-06,0.20736559522804726,60,1,1993-05-06,0,1,0,2,0,0.0,0.0,0.0,1970-01-17,0,0,940401,-0.11001260640603511,0.09655226224527257,-0.9394207906929904
1994-04-07,0.03836237923105709,60,1,1993-05-21,0,0,1,1,0,0.0,0.0,0.0,1963-02-01,1,0,940331,-0.8233373617527767,-0.4171221146082785,-0.3800561290147991
1994-04-18,-0.762461643597924,12,1,1993-01-25,0,1,0,1,0,0.0,0.0,0.0,1957-09-29,1,0,940416,1.1898218018974323,0.1635532679218227,0.019490057898194694
1994-05-02,0.6668716365604043,36,-1,1993-11-27,0,1,0,1,0,0.0,0.0,0.0,1959-12-17,1,1,940430,-0.5018588568196073,-1.3328025255211304,-0.14032841686700281
1994-05-09,-0.5354492156235885,60,1,1993-04-12,0,1,0,2,0,0.0,0.0,0.0,1970-01-25,0,0,940507,-0.5633496357602389,0.27522161071607293,-0.9394207906929904
1994-05-10,0.4630400551045749,36,1,1993-10-25,1,0,0,1,0,0.0,0.0,0.0,1972-12-03,1,0,940504,1.769140160367881,-1.0201311656972298,-1.1791485028407866
1994-05-11,-1.1513974231153217,12,1,1993-02-10,0,1,0,1,0,0.0,0.0,0.0,1955-11-19,0,0,940506,-0.6015899219415203,0.07421859368642252,0.17930853266339222
1994-05-17,1.210536711804776,60,1,1993-06-18,0,1,0,2,0,0.0,0.0,0.0,1939-09-02,1,0,940514,-0.5314442139090239,0.2082206050395228,1.4578563307849723
1994-05-20,-0.6182379531896817,12,1,1993-07-05,0,1,0,2,0,0.0,0.0,0.0,1976-02-06,0,0,940505,2.157143803519725,-0.5064567888436787,-1.418876214988583
1994-05-21,-0.4536882003169365,12,1,1993-07-24,0,1,0,1,0,0.0,0.0,0.0,1968-09-07,0,0,940520,-0.018483332727198088,-0.2161190975786281,-0.8595115533103916
1994-05-22,0.4831377348447575,48,1,1993-10-03,0,1,0,1,0,0.0,0.0,0.0,1958-05-27,1,0,940514,2.0445300350427478,-0.6181251316379289,-0.06041917948440406
1994-05-26,-0.6508966827674785,12,-1,1993-01-26,0,1,0,1,0,0.0,0.0,0.0,1946-01-19,0,0,940521,-1.2166472467719367,0.6102266390988237,0.9784009064893798
1994-05-26,-0.780275496094904,48,1,1993-04-19,0,1,0,1,0,0.0,0.0,0.0,1956-05-07,0,0,940514,-0.5974391810786155,0.1635532679218227,0.17930853266339222
1994-05-26,-1.1358673978615441,24,1,1993-09-08,0,1,0,1,0,0.0,0.0,0.0,1960-05-21,0,0,940512,1.2534196709049314,-0.8414618172264294,-0.14032841686700281
1994-05-31,-0.3854017657451797,12,1,1993-11-26,0,1,0,2,0,0.0,0.0,0.0,1939-11-30,1,0,940525,-0.6218225179599374,-0.9977974971383797,1.4578563307849723
1994-06-01,0.5996129242480885,48,1,1993-02-07,0,0,1,2,0,0.0,0.0,0.0,1968-04-14,0,1,940531,0.11079683847222853,0.23055427359837286,-0.7796023159277929
1994-06-03,0.05948778123068086,24,1,1993-11-21,0,1,0,1,0,0.0,0.0,0.0,1953-05-05,1,0,940601,-0.9250712952823359,-1.0424648342560798,0.4190362448111885
1994-06-04,-0.8867018456281438,24,1,1993-09-13,0,1,0,1,0,0.0,0.0,0.0,1959-07-17,0,0,940531,0.7751736649968111,-0.08211708622552782,-0.14032841686700281
1994-06-04,1.4739761843081924,36,1,1993-06-05,0,1,0,1,0,0.0,0.0,0.0,1964-03-13,1,0,940531,-0.35302126469845874,-0.08211708622552782,-0.4599653663973979
1994-06-05,-0.6439310096757106,12,1,1993-07-07,0,0,1,1,0,0.0,0.0,0.0,1967-07-10,1,0,940602,-0.49447271314435093,-0.3277874403728783,-0.7796023159277929
1994-06-06,-0.5528063026719281,48,-1,1993-11-26,0,1,0,1,0,0.0,0.0,0.0,1964-05-13,1,0,940531,-0.9077297174631909,-0.9307964914618296,-0.4599653663973979
1994-06-07,-0.5514360063260065,24,1,1993-07-21,0,1,0,1,0,0.0,0.0,0.0,1962-07-10,1,0,940531,-0.5745829180737116,-0.9977974971383797,-0.3800561290147991
1994-06-12,-0.7227230495661993,48,1,1993-03-19,0,1,0,1,0,0.0,0.0,0.0,1941-07-28,1,0,940610,-0.1392490475058843,0.07421859368642252,1.298037856019775
1994-06-14,1.3612693098561455,60,1,1994-02-27,1,0,0,1,0,0.0,0.0,0.0,1935-12-15,1,1,940531,0.07759091156899009,-1.4444708683153806,1.7774932803153674
1994-06-17,0.28010549292404907,24,-1,1993-03-22,0,1,0,1,0,0.0,0.0,0.0,1978-11-21,0,0,940615,-1.5772451249250374,0.9675653360404244,-1.6586039271363793
1994-06-23,0.895939509053622,60,1,1993-09-22,0,1,0,1,0,0.0,0.0,0.0,1942-09-13,0,0,940619,-0.2491077390782257,-0.640458800196779,1.218128618637176
1994-06-25,-0.5112406468456413,24,1,1993-11-26,0,1,0,1,0,0.0,0.0,0.0,1951-11-16,0,1,940624,0.36726368493367795,-0.9754638285795297,0.49894548219378726
1994-06-29,0.9444708379716766,60,1,1993-10-14,0,1,0,1,0,0.0,0.0,0.0,1967-07-19,0,0,940620,-0.9249398853641873,-0.7297934744321792,-0.7796023159277929
1994-07-05,-1.3353597075552885,12,1,1993-11-05,0,1,0,1,0,0.0,0.0,0.0,1952-07-26,0,0,940703,-0.8717324626434138,-0.640458800196779,0.4190362448111885
1994-07-05,-0.3228248992814293,24,1,1993-03-20,0,1,0,1,0,0.0,0.0,0.0,1967-02-10,1,0,940702,0.4794605667737692,1.726910067041326,-0.6996930785451941
1994-07-08,1.2499327317500204,36,-1,1993-08-28,0,1,0,1,0,0.0,0.0,0.0,1949-05-18,1,0,940707,-0.9948544931958014,-0.3724547774905784,0.7386731943415835
1994-07-11,-1.006146010447638,12,1,1993-02-04,0,1,0,1,0,0.0,0.0,0.0,1980-05-02,0,1,940705,-0.8082569408010876,0.9005643303638743,-1.738513164518978
1994-07-11,0.2711985666755591,24,1,1993-06-23,1,0,0,2,0,0.0,0.0,0.0,1957-01-27,0,0,940705,2.387759147117776,0.0072175880098723725,0.09939929528079346
1994-07-16,-0.9025744449684017,60,1,1993-10-20,0,1,0,1,0,0.0,0.0,0.0,1947-10-17,0,0,940710,-0.009379797363032301,-0.7074598058733291,0.8185824317241823
1994-07-19,1.0158404393217568,60,-1,1993-11-29,0,1,0,1,0,0.0,0.0,0.0,1965-08-03,0,1,940714,1.285030553284434,-0.3054537718140283,-0.6197838411625953
1994-07-23,-0.01336630782748111,24,1,1993-02-20,0,1,0,1,0,0.0,0.0,0.0,1951-04-10,1,0,940715,-0.1541482133980581,1.4365723757762754,0.578854719576386
1994-07-24,0.5977858624535265,48,-1,1993-05-11,0,1,0,1,0,0.0,0.0,0.0,1951-08-06,1,0,940721,1.800615101452747,-0.23845276613747815,0.49894548219378726
1994-07-28,-0.13338142945777615,36,1,1993-05-29,0,0,1,1,0,0.0,0.0,0.0,1954-03-20,1,1,940723,-0.470207192051714,0.18588693648067275,0.33912700742858976
1994-07-30,-0.6715653193184616,36,1,1993-06-26,0,1,0,1,0,0.0,0.0,0.0,1965-10-29,1,0,940721,-0.38490856104372234,-0.171451760460928,-0.6197838411625953
1994-07-30,1.4633563876273004,36,-1,1993-06-06,0,1,0,1,0,0.0,0.0,0.0,1966-12-10,0,0,940723,-1.0100210103007605,1.1462346845112248,-0.6996930785451941
1994-08-03,0.4186196152242849,60,1,1993-06-16,0,1,0,1,0,0.0,0.0,0.0,1953-12-05,1,0,940731,-0.7787622112414286,0.6102266390988237,0.33912700742858976
1994-08-04,-1.2435498523785453,12,1,1993-07-01,0,1,0,1,0,0.0,0.0,0.0,1949-03-08,0,0,940731,-0.3090669127659512,0.6102266390988237,0.7386731943415835
1994-08-05,-0.23238534045060755,36,1,1993-03-27,0,0,1,1,0,0.0,0.0,0.0,1944-04-20,0,1,940804,0.46566252536815217,0.4762246277457234,1.1382193812545773
1994-08-07,0.25475501052450056,48,1,1994-01-21,0,1,0,1,0,0.0,0.0,0.0,1957-03-05,0,0,940731,0.7463812987927746,-0.7297934744321792,0.09939929528079346
1994-08-10,1.6953932355366814,48,1,1993-06-21,0,1,0,1,0,0.0,0.0,0.0,1940-10-15,0,1,940731,1.3887945434805666,-0.3947884460494285,1.3779470934023736
1994-08-11,-0.6720220847671022,12,1,1993-04-02,0,1,0,2,0,0.0,0.0,0.0,1945-01-26,0,0,940806,-0.5802290131776193,0.8335633246873242,1.0583101438719786
1994-08-23,-0.9472232675730119,12,1,1993-11-22,0,0,1,1,0,0.0,0.0,0.0,1977-05-27,0,0,940819,0.5750091713973622,-1.0647985028149298,-1.4987854523711817
1994-08-25,0.7545706026993829,36,1,1993-03-24,0,1,0,2,0,0.0,0.0,0.0,1976-05-24,1,0,940816,-0.06573199536639955,0.40922362206917323,-1.418876214988583
1994-08-27,-0.6249752435571293,24,1,1994-04-08,0,1,0,1,0,0.0,0.0,0.0,1959-08-10,0,0,940813,2.6066518197416637,-1.3104688569622804,-0.06041917948440406
1994-08-27,-0.22279326602915675,24,1,1993-04-28,0,1,0,1,0,0.0,0.0,0.0,1965-03-07,1,0,940821,0.008120378633188584,0.40922362206917323,-0.5398746037799966
1994-09-02,-0.5939151930495743,12,1,1993-05-08,0,1,0,2,1994-02-15,1.0,0.0,0.0,1972-02-06,1,0,940831,1.0223965034229698,1.1462346845112248,-1.099239265458188
1994-09-10,-1.157906330758449,12,1,1993-03-12,0,1,0,1,0,0.0,0.0,0.0,1954-03-09,1,0,940903,1.0131389012582162,0.7888959875696241,0.33912700742858976
1994-09-11,0.6078347023236178,48,1,1993-08-16,0,1,0,1,0,0.0,0.0,0.0,1953-06-18,1,0,940910,0.11404130403755583,-0.14911809190207798,0.4190362448111885
1994-09-19,-0.9839928861885732,12,1,1993-01-24,0,1,0,1,0,0.0,0.0,0.0,1974-07-08,1,0,940916,-0.11479320860075629,1.5259070500116756,-1.2590577402233853
1994-09-26,-0.5470967345639216,12,1,1993-06-07,0,1,0,2,0,0.0,0.0,0.0,1961-05-02,1,0,940925,-1.1814384514610519,0.2082206050395228,-0.2202376542496016
1994-09-28,-1.163387516142135,12,1,1993-01-19,0,1,0,2,0,0.0,0.0,0.0,1940-11-01,0,0,940915,-0.598427021152975,2.151249769659477,1.3779470934023736
1994-09-28,0.4223879301755692,24,-1,1994-05-17,0,1,0,1,0,0.0,0.0,0.0,1970-02-19,0,0,940914,-0.8717460567728774,-1.556139211109631,-0.9394207906929904
1994-09-29,0.8080121601903231,36,-1,1993-10-08,0,1,0,1,0,0.0,0.0,0.0,1942-11-09,0,0,940907,-1.6046735468062199,0.1635532679218227,1.218128618637176
1994-09-30,-0.7027395611881768,12,1,1993-11-08,0,1,0,2,0,0.0,0.0,0.0,1945-08-03,1,0,940923,0.5113206748601052,-0.7074598058733291,1.0583101438719786
1994-09-30,-0.03871679022702963,24,1,1993-09-07,0,1,0,1,0,0.0,0.0,0.0,1962-09-11,1,0,940922,0.18730913047020675,0.6102266390988237,-0.3001468916322003
1994-10-02,-1.2710699706591362,24,1,1993-04-22,0,1,0,1,0,0.0,0.0,0.0,1938-09-16,1,1,941001,-0.6685410095500561,1.3025703644231752,1.61767480555017
1994-10-03,0.4513925361642418,36,1,1993-06-02,0,1,0,2,0,0.0,0.0,0.0,1971-09-20,0,0,940930,-0.576341092151012,0.02955125656872242,-1.0193300280755893
1994-10-12,0.785744844569098,36,1,1993-09-25,0,1,0,2,0,0.0,0.0,0.0,1955-11-04,0,0,941009,0.5427956159449708,0.18588693648067275,0.17930853266339222
1994-10-25,-1.2161439254601145,12,1,1993-08-01,0,1,0,1,0,0.0,0.0,0.0,1946-04-01,1,0,941021,0.2849784192901312,-0.059783417666677774,0.9784009064893798
1994-10-28,-0.4484353976575706,24,1,1994-07-09,0,1,0,1,0,0.0,0.0,0.0,1945-06-12,0,0,941010,1.2333547358165666,-1.3551361940799806,1.0583101438719786
1994-10-30,0.23739792347616104,24,1,1993-08-08,0,1,0,1,0,0.0,0.0,0.0,1965-07-16,0,0,941027,0.07090713124935623,0.051884925127572465,-0.5398746037799966
1994-11-02,-0.5927732794279731,12,1,1993-02-08,0,1,0,1,0,0.0,0.0,0.0,1979-03-26,1,0,941031,2.350977964165595,2.709591483630728,-1.6586039271363793
1994-11-03,-0.8017434721810082,48,1,1993-11-21,0,1,0,1,0,0.0,0.0,0.0,1957-09-06,0,1,941031,-0.3721482048538312,-0.23845276613747815,0.09939929528079346
1994-11-03,-0.20566456170513747,48,1,1993-12-02,0,1,0,1,0,0.0,0.0,0.0,1940-08-27,1,0,941031,-0.749978907790368,-0.3054537718140283,1.4578563307849723
1994-11-04,-0.814076139294302,24,1,1993-12-27,0,1,0,2,0,0.0,0.0,0.0,1958-11-26,1,0,941031,-0.027410144408336206,-0.46178945172597863,-0.06041917948440406
1994-11-06,-0.9195889579302607,36,1,1993-09-17,0,1,0,2,0,0.0,0.0,0.0,1948-05-02,0,1,941031,-0.8441046601967644,0.49855829630457343,0.8185824317241823
1994-11-06,-0.046710185578238625,36,1,1993-10-10,0,1,0,1,0,0.0,0.0,0.0,1941-10-15,1,1,941104,-0.6102040686449943,-0.662792468755629,1.3779470934023736
1994-11-12,0.44956547436967975,24,-1,1993-08-29,0,0,1,1,0,0.0,0.0,0.0,1963-12-31,0,0,941031,-0.8841846852321282,-0.5287904574025287,-0.4599653663973979
1994-11-19,0.1783609892393746,36,-1,1993-11-17,1,0,0,1,0,0.0,0.0,0.0,1975-09-12,0,0,941112,-0.9482719429003192,-0.2161190975786281,-1.3389669776059843
1994-12-04,0.5699231700864552,36,1,1993-06-11,0,0,1,1,0,0.0,0.0,0.0,1963-01-25,0,0,941203,0.5821914031306636,1.213235690187775,-0.3800561290147991
1994-12-08,-0.8935533273577515,24,1,1993-11-16,0,1,0,1,0,0.0,0.0,0.0,1949-07-24,1,0,941130,0.33807708897519545,-0.23845276613747815,0.7386731943415835
1994-12-11,0.517395143492796,60,1,1993-10-25,0,1,0,1,0,0.0,0.0,0.0,1949-05-23,1,0,941130,-0.9878127341336245,-0.015116080548977676,0.7386731943415835
1994-12-19,3.212882247282629,60,-1,1993-08-29,0,1,0,1,0,0.0,0.0,0.0,1976-05-21,0,1,941213,-1.0557471304400319,1.235569358746625,-1.418876214988583
1994-12-20,-1.0336661287282292,12,1,1993-03-29,0,1,0,1,0,0.0,0.0,0.0,1978-09-23,0,0,941219,-0.3011098156532211,1.1239010159523748,-1.5786946897537806
1994-12-20,2.4106879281077265,60,1,1993-07-26,0,0,1,1,0,0.0,0.0,0.0,1960-02-09,0,0,941218,0.7965662933961273,0.2528879421572229,-0.14032841686700281
1994-12-21,-0.4218288102742607,60,1,1993-12-01,0,1,0,1,0,0.0,0.0,0.0,1965-07-31,1,0,941210,0.3126515355016592,-0.10445075478437786,-0.5398746037799966
1994-12-21,-1.0853948157867672,12,1,1993-05-30,0,1,0,1,0,0.0,0.0,0.0,1939-03-15,0,1,941220,0.5521166573805554,1.0122326731581246,1.537765568167571
1994-12-21,-0.27897541621193994,36,1,1993-04-17,0,0,1,1,0,0.0,0.0,0.0,1937-05-17,1,0,941210,-1.4531443170512661,1.1685683530700748,1.6975840429327687
1995-01-02,-0.6559211027025241,12,1,1994-05-01,0,1,0,1,0,0.0,0.0,0.0,1957-06-28,0,1,941231,-0.841993038753409,-0.662792468755629,0.09939929528079346
1995-01-03,1.3622970321155867,36,1,1994-08-29,0,1,0,1,0,0.0,0.0,0.0,1958-10-26,0,0,941231,0.31390219541231634,-1.2881351884034304,0.019490057898194694
1995-01-03,0.3086533334640812,48,-1,1993-08-10,0,1,0,1,0,0.0,0.0,0.0,1972-03-13,1,0,950102,-1.2464591726857475,0.45389095918687333,-1.099239265458188
1995-01-08,1.1927228593077959,36,-1,1994-03-07,0,0,1,1,0,0.0,0.0,0.0,1937-11-04,1,1,950101,0.4195376440979466,-0.059783417666677774,1.6975840429327687
1995-01-08,-0.9200457233789012,24,1,1993-08-05,0,1,0,1,0,0.0,0.0,0.0,1961-09-30,1,0,950107,0.2834649395431767,0.9452316674815744,-0.2202376542496016
1995-01-11,-0.6555785286160437,24,1,1993-03-13,0,1,0,2,0,0.0,0.0,0.0,1937-09-02,1,1,950110,-1.3356275992143951,1.7492437356001762,1.6975840429327687
1995-01-14,-0.0706903716318656,60,-1,1993-09-15,0,0,1,1,0,0.0,0.0,0.0,1963-03-12,1,0,950110,-0.9865348859640403,0.31988894783377303,-0.3800561290147991
1995-01-16,1.9283436143433437,48,1,1993-03-30,0,1,0,1,0,0.0,0.0,0.0,1964-10-30,0,0,950113,0.7163337413015936,1.0122326731581246,-0.4599653663973979
1995-01-18,-0.7345989512308526,12,1,1993-08-04,0,1,0,1,0,0.0,0.0,0.0,1977-11-30,0,0,950115,-0.10521387870536232,1.6152417242470758,-1.4987854523711817
1995-01-30,-0.47104528736527607,12,1,1993-11-27,0,1,0,1,0,0.0,0.0,0.0,1940-09-07,1,0,950129,1.3939603126767581,0.3422226163926231,1.4578563307849723
1995-02-02,-1.1845129181417589,48,1,1993-08-01,0,1,0,1,0,0.0,0.0,0.0,1948-05-04,1,0,950131,-1.0807739227826338,1.704576398482476,0.8185824317241823
1995-02-05,1.625622313256843,60,-1,1993-03-24,0,1,0,1,0,0.0,0.0,0.0,1968-02-22,1,1,950131,-1.3100932927051498,1.4365723757762754,-0.7796023159277929
1995-02-06,-0.9720027931617597,12,1,1994-02-08,0,1,0,1,0,0.0,0.0,0.0,1976-01-06,0,0,950203,-0.4707237689713331,-0.12678442334322793,-1.3389669776059843
1995-02-08,0.7229395953810274,48,1,1994-01-15,0,0,1,2,0,0.0,0.0,0.0,1968-03-28,1,0,950131,-0.4723188134950695,-0.08211708622552782,-0.7796023159277929
