trans_id,account_id,date,balance,NumberOfTrans,amount_min,amount_max,amount_mean,amount_std,balance_min,balance_max,balance_mean,balance_std,n_A,n_B,n_C,n_D,n_E,n_F,p_A,p_B,p_C,p_D,p_E,p_F,n_credit,n_withdraw,p_credit,p_withdraw,n_kA,n_kB,n_kC,n_kD,n_kE,n_kF,n_kG,p_kA,p_kB,p_kC,p_kD,p_kE,p_kF,p_kG
3530458,1,961231,12674.5,113,-7500.0,12600.0,112.0345132743364,2515.463951944122,1000.0,30414.8,17558.699999999993,4168.729384185478,8,21,47,16,0,21,0.07079646017699115,0.18584070796460178,0.415929203539823,0.1415929203539823,0.0,0.18584070796460178,50,63,0.4424778761061947,0.5575221238938053,21,16,17,0,0,0,59,0.18584070796460178,0.1415929203539823,0.1504424778761062,0.0,0.0,0.0,0.5221238938053098
3530492,2,931231,27855.2,54,-22400.0,30354.0,515.5685185185185,11895.998464916345,1100.0,67529.6,32590.62407407406,12061.705681876094,2,10,27,5,0,10,0.037037037037037035,0.18518518518518517,0.5,0.09259259259259259,0.0,0.18518518518518517,22,32,0.4074074074074074,0.5925925925925926,10,5,6,0,0,0,33,0.18518518518518517,0.09259259259259259,0.1111111111111111,0.0,0.0,0.0,0.6111111111111112
3530576,4,961231,24957.6,39,-4100.0,5553.0,639.5615384615386,3108.808146525423,800.0,30623.5,23648.623076923075,5779.86204613468,1,10,11,11,0,6,0.02564102564102564,0.2564102564102564,0.28205128205128205,0.28205128205128205,0.0,0.15384615384615385,17,22,0.4358974358974359,0.5641025641025641,6,5,6,0,0,10,6,0.18181818181818182,0.15151515151515152,0.18181818181818182,0.0,0.0,0.30303030303030304,0.18181818181818182
3530638,6,961231,33523.8,124,-11600.0,6669.0,270.23548387096804,3835.3211682688725,900.0,40391.5,30313.279838709663,5582.67604095098,1,27,50,23,0,23,0.008064516129032258,0.21774193548387097,0.4032258064516129,0.18548387096774194,0.0,0.18548387096774194,51,73,0.4112903225806452,0.5887096774193549,23,23,23,0,0,27,28,0.18548387096774194,0.18548387096774194,0.18548387096774194,0.0,0.0,0.21774193548387097,0.22580645161290322
3530663,7,961231,28305.4,4,-6600.0,33975.0,7076.35,18242.556764061337,900.0,34875.0,23088.85,15114.749329380225,2,0,1,0,0,1,0.5,0.0,0.25,0.0,0.0,0.25,3,1,0.75,0.25,1,0,0,0,0,0,3,0.25,0.0,0.0,0.0,0.0,0.0,0.75
3530702,8,961231,42034.2,85,-17700.0,30712.0,494.34823529411796,11378.89845801274,900.0,75952.3,49640.43999999997,11961.389764314898,17,0,32,21,0,15,0.2,0.0,0.3764705882352941,0.24705882352941178,0.0,0.17647058823529413,32,53,0.3764705882352941,0.6235294117647059,15,11,11,0,0,0,38,0.2,0.14666666666666667,0.14666666666666667,0.0,0.0,0.0,0.5066666666666667
2408,9,961231,32835.2,245,-23500.0,45691.0,134.02163265306157,4404.965047681128,400.0,78753.0,27558.120408163293,9954.962738145263,81,0,117,0,0,47,0.3306122448979592,0.0,0.4775510204081633,0.0,0.0,0.19183673469387755,128,117,0.5224489795918368,0.4775510204081633,47,0,44,0,0,0,154,0.19183673469387755,0.0,0.17959183673469387,0.0,0.0,0.0,0.6285714285714286
3530730,10,961231,48008.1,13,-17800.0,26529.0,3692.923076923077,12827.31512146078,1100.0,65638.5,35311.86153846153,16648.715007548304,6,0,3,0,0,4,0.46153846153846156,0.0,0.23076923076923078,0.0,0.0,0.3076923076923077,10,3,0.7692307692307693,0.23076923076923078,4,0,0,0,0,0,9,0.3076923076923077,0.0,0.0,0.0,0.0,0.0,0.6923076923076923
3530769,11,961231,28901.6,56,-2132.0,3494.0,515.8410714285716,1995.4111427588311,300.0,31304.6,20782.166071428564,7145.898033348202,1,15,14,11,0,15,0.017857142857142856,0.26785714285714285,0.25,0.19642857142857142,0.0,0.26785714285714285,31,25,0.5535714285714286,0.44642857142857145,15,0,11,0,0,0,30,0.26785714285714285,0.0,0.19642857142857142,0.0,0.0,0.0,0.5357142857142857
3530826,14,961231,24753.6,4,16.6,22137.0,6188.4,10674.921800181957,400.0,24753.6,18106.9,11850.414064777091,3,0,0,0,0,1,0.75,0.0,0.0,0.0,0.0,0.25,4,0,1.0,0.0,1,0,0,0,0,0,3,0.25,0.0,0.0,0.0,0.0,0.0,0.75
3530889,15,961231,33578.9,221,-46720.0,25598.0,151.8746606334844,10164.244023759798,800.0,66670.5,41623.9864253394,10452.874698430456,42,0,105,35,0,39,0.19004524886877827,0.0,0.4751131221719457,0.1583710407239819,0.0,0.17647058823529413,81,140,0.3665158371040724,0.6334841628959276,39,35,35,0,0,0,112,0.17647058823529413,0.1583710407239819,0.1583710407239819,0.0,0.0,0.0,0.5067873303167421
4367,18,961231,26739.0,187,-70200.0,47679.0,142.99090909090916,17121.40619940815,575.7,155603.3,43914.82673796794,28240.46135565511,57,0,94,0,0,36,0.3048128342245989,0.0,0.5026737967914439,0.0,0.0,0.1925133689839572,93,94,0.49732620320855614,0.5026737967914439,36,0,32,0,0,0,119,0.1925133689839572,0.0,0.1711229946524064,0.0,0.0,0.0,0.6363636363636364
4546,19,960410,15854.0,80,-18200.0,22708.0,198.18000000000006,9205.689080326661,715.0,58157.5,25197.09249999999,15039.248404932323,9,13,34,0,0,24,0.1125,0.1625,0.425,0.0,0.0,0.3,46,34,0.575,0.425,24,8,8,0,0,0,40,0.3,0.1,0.1,0.0,0.0,0.0,0.5
4904,20,961214,12520.0,5,500.0,3005.0,2504.0,1120.2700567273946,500.0,12520.0,6510.0,4751.32218440299,1,4,0,0,0,0,0.2,0.8,0.0,0.0,0.0,0.0,5,0,1.0,0.0,0,0,0,0,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3531000,22,961231,66615.1,174,-27600.0,25310.0,382.7620689655175,9969.32540315764,1100.0,68159.8,38711.61954022986,10068.888751037626,37,0,76,28,0,33,0.21264367816091953,0.0,0.4367816091954023,0.16091954022988506,0.0,0.1896551724137931,70,104,0.40229885057471265,0.5977011494252874,33,28,29,0,0,0,84,0.1896551724137931,0.16091954022988506,0.16666666666666666,0.0,0.0,0.0,0.4827586206896552
3531067,23,961231,71655.1,234,-40480.0,33132.0,306.1568376068379,13103.98544566294,800.0,72983.2,44445.36324786328,11831.896534735519,45,0,108,38,0,43,0.19230769230769232,0.0,0.46153846153846156,0.1623931623931624,0.0,0.18376068376068377,88,146,0.37606837606837606,0.6239316239316239,43,38,39,0,0,0,114,0.18376068376068377,0.1623931623931624,0.16666666666666666,0.0,0.0,0.0,0.48717948717948717
3531092,24,961231,19995.1,3,69.6,18925.5,6665.033333333333,10628.061591999423,1000.0,19995.1,13640.199999999999,10946.789623903438,2,0,0,0,0,1,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,3,0,1.0,0.0,1,0,0,0,0,0,2,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.6666666666666666
3531185,26,961231,29939.3,222,-29100.0,37203.0,134.79504504504519,14174.855961269432,800.0,83469.3,34495.16441441443,14005.84809684495,3,41,101,36,0,41,0.013513513513513514,0.18468468468468469,0.45495495495495497,0.16216216216216217,0.0,0.18468468468468469,85,137,0.38288288288288286,0.6171171171171171,41,36,37,0,0,0,108,0.18468468468468469,0.16216216216216217,0.16666666666666666,0.0,0.0,0.0,0.4864864864864865
