trans_id,account_id,date,balance,NumberOfTrans,amount_min,amount_max,amount_mean,amount_std,balance_min,balance_max,balance_mean,balance_std,n_A,n_B,n_C,n_D,n_E,n_F,p_A,p_B,p_C,p_D,p_E,p_F,n_credit,n_withdraw,p_credit,p_withdraw,n_kA,n_kB,n_kC,n_kD,n_kE,n_kF,n_kG,p_kA,p_kB,p_kC,p_kD,p_kE,p_kF,p_kG
6308,25,971206,31621.9,164,-62900.0,49734.0,192.81646341463406,19772.510051687503,900.0,119652.7,62991.2646341463,22476.347979775186,36,0,70,43,0,15,0.21951219512195122,0.0,0.4268292682926829,0.2621951219512195,0.0,0.09146341463414634,51,113,0.31097560975609756,0.6890243902439024,15,14,14,14,0,0,92,0.10067114093959731,0.09395973154362416,0.09395973154362416,0.09395973154362416,0.0,0.0,0.6174496644295302
11243,37,981012,16367.8,116,-43200.0,47785.0,141.1025862068968,14052.393688289867,-1011.2,104761.5,39953.970689655114,23451.647180035612,18,0,48,36,0,14,0.15517241379310345,0.0,0.41379310344827586,0.3103448275862069,0.0,0.1206896551724138,32,84,0.27586206896551724,0.7241379310344828,14,12,11,12,1,0,54,0.1346153846153846,0.11538461538461539,0.10576923076923077,0.11538461538461539,0.009615384615384616,0.0,0.5192307692307693
11349,38,980410,37416.7,55,-16800.0,20762.0,680.3036363636362,7425.3991265207205,13841.0,55991.1,31383.449090909107,10950.811532854588,6,9,19,13,0,8,0.10909090909090909,0.16363636363636364,0.34545454545454546,0.23636363636363636,0.0,0.14545454545454545,23,32,0.41818181818181815,0.5818181818181818,8,4,4,4,0,0,30,0.16,0.08,0.08,0.08,0.0,0.0,0.6
30050,97,970807,40516.3,118,-18600.0,26892.0,343.35847457627136,8464.912169750742,900.0,60334.7,33057.37457627117,12670.953546334435,18,0,42,43,0,15,0.15254237288135594,0.0,0.3559322033898305,0.3644067796610169,0.0,0.1271186440677966,33,85,0.2796610169491525,0.7203389830508474,15,10,11,11,0,0,49,0.15625,0.10416666666666667,0.11458333333333333,0.11458333333333333,0.0,0.0,0.5104166666666666
3445117,103,971130,19992.8,83,-53500.0,48308.0,240.70361445783098,14986.841807011959,379.0,116038.4,46266.57469879516,28827.091843999817,22,0,41,0,0,20,0.26506024096385544,0.0,0.4939759036144578,0.0,0.0,0.24096385542168675,42,41,0.5060240963855421,0.4939759036144578,20,0,8,0,4,0,51,0.24096385542168675,0.0,0.0963855421686747,0.0,0.04819277108433735,0.0,0.6144578313253012
32697,105,981202,30175.3,56,-29900.0,49101.0,538.8464285714288,14553.04663359612,800.0,74693.6,30797.4875,16415.401618181764,14,0,27,0,0,15,0.25,0.0,0.48214285714285715,0.0,0.0,0.26785714285714285,29,27,0.5178571428571429,0.48214285714285715,15,0,7,0,0,0,34,0.26785714285714285,0.0,0.125,0.0,0.0,0.0,0.6071428571428571
34133,110,970906,55539.8,84,-23000.0,35157.0,661.1880952380955,12216.696696846826,900.0,79652.2,46148.29761904761,12673.331275508797,15,0,39,17,0,13,0.17857142857142858,0.0,0.4642857142857143,0.20238095238095238,0.0,0.15476190476190477,28,56,0.3333333333333333,0.6666666666666666,13,9,9,0,0,0,45,0.17105263157894737,0.11842105263157894,0.11842105263157894,0.0,0.0,0.0,0.5921052631578947
53341,176,970409,36280.9,75,-61900.0,47395.0,483.7466666666665,19287.284668012628,800.0,111282.3,48780.09599999996,24959.844822572028,19,0,33,15,0,8,0.25333333333333335,0.0,0.44,0.2,0.0,0.10666666666666667,27,48,0.36,0.64,8,5,6,5,0,0,46,0.11428571428571428,0.07142857142857142,0.08571428571428572,0.07142857142857142,0.0,0.0,0.6571428571428571
67966,226,980711,66657.0,93,-23400.0,28588.0,716.7451612903228,10789.146673408864,1000.0,80433.2,48376.2580645161,12283.907153443406,27,0,36,13,1,16,0.2903225806451613,0.0,0.3870967741935484,0.13978494623655913,0.010752688172043012,0.17204301075268819,43,50,0.46236559139784944,0.5376344086021505,16,13,12,0,0,0,52,0.17204301075268819,0.13978494623655913,0.12903225806451613,0.0,0.0,0.0,0.5591397849462365
3539688,276,981130,48339.6,59,-24800.0,40234.0,819.0677966101692,16433.10462615904,700.0,74906.0,51649.39830508475,16029.138294266511,1,12,27,7,0,12,0.01694915254237288,0.2033898305084746,0.4576271186440678,0.11864406779661017,0.0,0.2033898305084746,25,34,0.423728813559322,0.576271186440678,12,7,8,0,0,0,32,0.2033898305084746,0.11864406779661017,0.13559322033898305,0.0,0.0,0.0,0.5423728813559322
89929,303,980520,48916.6,129,-35360.0,23108.0,379.20000000000033,8643.526333232361,900.0,68401.9,44659.64961240314,11387.127112028216,26,0,64,18,0,21,0.20155038759689922,0.0,0.49612403100775193,0.13953488372093023,0.0,0.16279069767441862,47,82,0.3643410852713178,0.6356589147286822,21,18,17,0,0,0,73,0.16279069767441862,0.13953488372093023,0.13178294573643412,0.0,0.0,0.0,0.5658914728682171
91230,309,981116,14866.7,99,-25400.0,28726.0,150.16969696969716,12112.109523323783,900.0,59725.7,30173.12424242425,10956.883405561994,21,0,60,0,0,18,0.21212121212121213,0.0,0.6060606060606061,0.0,0.0,0.18181818181818182,39,60,0.3939393939393939,0.6060606060606061,18,0,14,0,0,0,67,0.18181818181818182,0.0,0.1414141414141414,0.0,0.0,0.0,0.6767676767676768
92576,314,970430,22674.3,94,-59900.0,55346.0,241.21808510638274,19460.386046690557,700.0,109016.3,38819.32021276595,18712.608852566682,4,15,49,11,0,15,0.0425531914893617,0.1595744680851064,0.5212765957446809,0.11702127659574468,0.0,0.1595744680851064,34,60,0.3617021276595745,0.6382978723404256,15,11,11,0,0,0,57,0.1595744680851064,0.11702127659574468,0.11702127659574468,0.0,0.0,0.0,0.6063829787234043
93872,319,970710,59544.8,171,-25000.0,47415.0,348.214619883041,11300.43058346046,700.0,110827.3,48648.40116959062,19732.115097790942,29,0,67,55,0,20,0.1695906432748538,0.0,0.391812865497076,0.3216374269005848,0.0,0.11695906432748537,49,122,0.28654970760233917,0.7134502923976608,20,18,19,19,0,0,77,0.13071895424836602,0.11764705882352941,0.12418300653594772,0.12418300653594772,0.0,0.0,0.5032679738562091
96714,330,980708,55494.8,101,-27040.0,33590.0,549.4544554455449,13601.45125091087,400.0,73943.0,42007.366336633655,13202.104146796277,21,0,61,0,0,19,0.2079207920792079,0.0,0.6039603960396039,0.0,0.0,0.18811881188118812,40,61,0.39603960396039606,0.6039603960396039,19,0,15,0,0,0,67,0.18811881188118812,0.0,0.1485148514851485,0.0,0.0,0.0,0.6633663366336634
99205,339,971223,102734.6,112,-40100.0,70210.0,850.3080357142857,22963.62664173728,400.0,127425.3,59623.21607142848,25407.637815788745,1,16,58,22,0,15,0.008928571428571428,0.14285714285714285,0.5178571428571429,0.19642857142857142,0.0,0.13392857142857142,32,80,0.2857142857142857,0.7142857142857143,15,11,11,0,0,0,64,0.1485148514851485,0.10891089108910891,0.10891089108910891,0.0,0.0,0.0,0.6336633663366337
102666,349,980901,18696.6,85,-8400.0,10486.0,219.95882352941177,4382.153471462516,1100.0,31616.5,17076.756470588225,5320.731429813169,26,0,34,10,0,15,0.3058823529411765,0.0,0.4,0.11764705882352941,0.0,0.17647058823529413,41,44,0.4823529411764706,0.5176470588235295,15,10,11,0,0,0,49,0.17647058823529413,0.11764705882352941,0.12941176470588237,0.0,0.0,0.0,0.5764705882352941
112051,378,971007,49277.3,168,-59900.0,48038.0,293.3172619047615,20263.28137112223,20574.0,145352.1,79500.53809523811,22324.05166043614,38,0,62,53,0,15,0.2261904761904762,0.0,0.36904761904761907,0.31547619047619047,0.0,0.08928571428571429,53,115,0.31547619047619047,0.6845238095238095,15,13,14,13,0,0,86,0.10638297872340426,0.09219858156028368,0.09929078014184398,0.09219858156028368,0.0,0.0,0.6099290780141844
